Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
Concourse,40.83428380733851,-73.91558941773444,Frank's Red Hot Terrace,58dffd93528930451ac2832b,Sports Bar,40.82997749970659,-73.92570778703717,New York,NY
Concourse,40.83428380733851,-73.91558941773444,Budweiser Party Deck,58f54e66286fda68229c3b0d,Beer Bar,40.830487,-73.926378,New York,NY
Concourse,40.83428380733851,-73.91558941773444,AT&T Lounge,590f8d0b18d43b465dce0541,Sports Bar,40.830141,-73.926012,New York,NY
Concourse,40.83428380733851,-73.91558941773444,Beer Box,4d7fb2b8b25d6dcb65ccd242,Beer Garden,40.82967149926159,-73.92620635846114,New York,NY
Concourse,40.83428380733851,-73.91558941773444,BB King,508375cee4b00dbb9dd15c79,Bar,40.83731510431539,-73.90628113596713,New York,NY
Concourse,40.83428380733851,-73.91558941773444,Halstead Lounge,58ebb008005a0f7562c36274,Lounge,40.82966,-73.926497,New York,NY
Concourse,40.83428380733851,-73.91558941773444,The Black Market,4f6f7c4ae4b01d94fe8ad542,Speakeasy,40.8271329981364,-73.92155271906567,New York,NY
Unionport,40.82977429787161,-73.85053524451935,Starling Members Only Club,4dc3c835fa76d685cdb53e3e,Bar,40.83032807185345,-73.850159395635,New York,NY
Unionport,40.82977429787161,-73.85053524451935,Cafe Sueno,4dc4d34e887717c880145d80,Bar,40.832345,-73.84796,New York,NY
Unionport,40.82977429787161,-73.85053524451935,Blue Mist,5c70da2a86f4cc0039997906,Hookah Bar,40.834005,-73.852021,New York,NY
Unionport,40.82977429787161,-73.85053524451935,Fort Perdition,57df337c498ed2476715ca51,Dive Bar,40.832888,-73.850699,New York,NY
Edenwald,40.88456130303732,-73.84808271877168,Club Mystique,4bf0d45af45ec9282f44943c,Nightclub,40.88414927642994,-73.85647600392656,New York,NY
Bay Ridge,40.625801065010656,-74.03062069353813,La Catrina,5af63c6de7a2370033d3c4e6,Mexican Restaurant,40.632432,-74.027522,New York,NY
Bay Ridge,40.625801065010656,-74.03062069353813,Battlemug club,573fb900cd10a3bfc64e37ea,Strip Club,40.633699,-74.030142,New York,NY
Bay Ridge,40.625801065010656,-74.03062069353813,Blue Zoo Lounge,4b19f066f964a52062e623e3,Lounge,40.62502995433233,-74.03055409884608,New York,NY
