Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
High  Bridge,40.836623010706056,-73.92610209358129,Halo,4f750e9de4b07eec1fe21ffc,Rock Club,40.83368335423561,-73.92982528258281,Bronx,NY,0,N/A
High  Bridge,40.836623010706056,-73.92610209358129,Field MVP Club Lounge,5342c35f11d24c9299cebae2,Lounge,40.8295090975486,-73.92675610487414,Bronx,NY,9,7.5
High  Bridge,40.836623010706056,-73.92610209358129,Pepsi Lounge,5aeccee2012358002c4c0be6,Lounge,40.829759805071504,-73.92579307832716,Bronx,NY,3,N/A
High  Bridge,40.836623010706056,-73.92610209358129,The Big 4 V.I.P. Floor,4e7112792271c7e78c13b054,Rock Club,40.830865430651286,-73.92649563249483,,NY,0,N/A
High  Bridge,40.836623010706056,-73.92610209358129,GlacierzGirlz Studios,4be89a6cee96c928eb52febf,Music Venue,40.83105172398551,-73.91973999891661,New York,NY,0,N/A
High  Bridge,40.836623010706056,-73.92610209358129,Halstead Lounge,58ebb008005a0f7562c36274,Lounge,40.82966,-73.926497,New York,NY,1,N/A
High  Bridge,40.836623010706056,-73.92610209358129,Jim Beam Suite Lounge,4c86dd8f51ada1cddaa54310,Lounge,40.82938920853768,-73.92753800490516,Bronx,NY,37,7.2
High  Bridge,40.836623010706056,-73.92610209358129,Harman Lounge,598142cf1fa7633aa8516409,Lounge,40.829439,-73.927334,New York,NY,1,N/A
High  Bridge,40.836623010706056,-73.92610209358129,Audi Yankees Club,4bf4a31894af2d7f3ae63a72,Lounge,40.82982482739111,-73.92628304382208,Bronx,NY,66,8.1
High  Bridge,40.836623010706056,-73.92610209358129,Delta SKY360° Suite,4c9ff17103133704920477d5,Lounge,40.8294644221156,-73.92693636747701,Bronx,NY,99,9.0
High  Bridge,40.836623010706056,-73.92610209358129,Ketel One Lounge,4bc4badbb492d13ae279aa60,Lounge,40.82932266553546,-73.92632914849136,Bronx,NY,14,7.5
Melrose,40.819754370594936,-73.90942160757436,Bronx Haven HS,4c5ace5e5c57c9b646191e4a,Nightclub,40.818301318870134,-73.91873962276561,Bronx,NY,0,N/A
Melrose,40.819754370594936,-73.90942160757436,Bronx Social Club,56e90da1498e209ab3a6693b,Music Venue,40.823037,-73.8997882,Bronx,NY,0,N/A
Melrose,40.819754370594936,-73.90942160757436,Bamboo Lounge,4d12d53b058fa35d980e2a9f,Lounge,40.82844696161257,-73.91690554747284,Bronx,NY,9,6.4
Melrose,40.819754370594936,-73.90942160757436,Best Party Place,57d38515498ebceb8cb0d208,Nightclub,40.82849,-73.90719,Bronx,NY,1,N/A
Melrose,40.819754370594936,-73.90942160757436,Olympic Theater,50f32caae4b06080ce232c3e,Concert Hall,40.819923,-73.901487,Bronx,NY,0,N/A
